codigo_region,region,codigo_comuna,comuna,03/07/2020,03/30/2020,04/01/2020,04/03/2020,04/06/2020,0,04/08/2020,04/10/2020,04/13/2020,04/15/2020,0,04/17/2020,04/20/2020,04/24/2020,04/27/2020,0,04/30/2020,05/04/2020
13,Metropolitana,13104,Conchalí,0,14,18,22,32,0,38,47,52,56,0,64,80,98,113,0,181,295
13,Metropolitana,13503,Curacaví,0,5,5,5,8,0,9,10,13,14,0,14,14,15,15,0,19,23
13,Metropolitana,13105,El Bosque,0,18,28,35,37,0,46,64,83,93,0,107,127,145,177,0,236,275
13,Metropolitana,13602,El Monte,0,-,1,2,5,0,7,9,10,10,0,12,12,13,16,0,21,21
13,Metropolitana,13106,Estación Central,0,16,22,25,36,0,41,61,71,89,0,101,120,162,207,0,341,447
13,Metropolitana,13107,Huechuraba,0,17,19,22,32,0,35,38,48,53,0,59,66,77,82,0,113,150
13,Metropolitana,13108,Independencia,0,15,17,22,26,0,31,37,52,60,0,80,115,196,246,0,431,594
13,Metropolitana,13603,Isla de Maipo,0,-,1,1,4,0,7,10,10,11,0,11,11,11,13,0,14,15
13,Metropolitana,13109,La Cisterna,0,10,12,12,20,0,26,34,39,45,0,47,61,73,84,0,122,143
13,Metropolitana,13110,La Florida,0,43,58,67,91,0,103,126,165,176,0,211,231,282,328,0,428,578
13,Metropolitana,13111,La Granja,0,5,8,16,24,0,26,36,46,51,0,60,69,80,95,0,138,193
13,Metropolitana,13112,La Pintana,0,-,10,13,18,0,25,39,55,70,0,88,107,128,195,0,269,345
13,Metropolitana,13113,La Reina,0,24,26,30,35,0,44,52,54,56,0,59,62,65,84,0,108,136
13,Metropolitana,13302,Lampa,0,10,10,13,14,0,18,26,37,41,0,45,48,58,68,0,96,117
13,Metropolitana,13114,Las Condes,0,181,208,224,258,0,266,281,296,306,0,320,326,346,355,0,409,477
13,Metropolitana,13115,Lo Barnechea,0,68,78,85,97,0,105,110,116,125,0,144,157,170,194,0,238,273
13,Metropolitana,13116,Lo Espejo,0,4,7,9,15,0,23,34,48,56,0,60,67,80,100,0,130,162
13,Metropolitana,13117,Lo Prado,0,14,18,20,25,0,32,35,43,47,0,62,75,88,111,0,170,210
13,Metropolitana,13118,Macul,0,10,15,23,34,0,37,43,49,51,0,57,64,89,110,0,136,181
13,Metropolitana,13119,Maipú,0,43,55,64,83,0,106,167,203,241,0,284,312,364,399,0,480,580
13,Metropolitana,13504,María Pinto,0,-,-,-,-,0,-,-,0,0,0,1,1,1,1,0,3,3
